PassengerId,Survived,Class,LastName,FirstName,Title,Sex,Age,FamilySize,Ticket,FarePerPerson,Deck,Embarked,IsMother
121,False,Second,Hickman, Stanley George,Mr,male,21,3,S.O.C. 14879,73.50,U,Southampton,0
123,False,Second,Nasser, Nicholas,Mr,male,32,2,237736,30.07,U,Cherbourg,0
124,True,Second,Webber, Susan,Miss,female,32,1,27267,13.00,E,Southampton,0
125,False,First,White, Percival Wayland,Mr,male,54,2,35281,77.29,D,Southampton,0
126,True,Third,Nicola-Yarred, Elias,Mr,male,12,2,2651,11.24,U,Cherbourg,0
128,True,Third,Madsen, Fridtjof Arne,Mr,male,24,1,C 17369,7.14,U,Southampton,0
130,False,Third,Ekstrom, Johan,Mr,male,45,1,347061,6.98,U,Southampton,0
131,False,Third,Drazenoic, Jozef,Mr,male,33,1,349241,7.90,U,Cherbourg,0
132,False,Third,Coelho, Domingos Fernandeo,Mr,male,20,1,SOTON/O.Q. 3101307,7.05,U,Southampton,0
133,False,Third,Robins, Alexander A (Grace Charity Laury),Mrs,female,47,2,A/5. 3337,14.50,U,Southampton,1
134,True,Second,Weisz, Leopold (Mathilde Francoise Pede),Mrs,female,29,2,228414,26.00,U,Southampton,1
135,False,Second,Sobey, Samuel James Hayden,Mr,male,25,1,C.A. 29178,13.00,U,Southampton,0
136,False,Second,Richard, Emile,Mr,male,23,1,SC/PARIS 2133,15.05,U,Cherbourg,0
137,True,First,Newsom, Helen Monypeny,Miss,female,19,3,11752,26.28,D,Southampton,0
138,False,First,Futrelle, Jacques Heath,Mr,male,37,2,113803,53.10,C,Southampton,0
139,False,Third,Osen, Olaf Elon,Mr,male,16,1,7534,9.22,U,Southampton,0
140,False,First,Giglio, Victor,Mr,male,24,1,PC 17593,79.20,B,Cherbourg,0
142,True,Third,Nysten, Anna Sofia,Miss,female,22,1,347081,7.75,U,Southampton,0
143,True,Third,Hakkarainen, Pekka Pietari (Elin Matilda Dolck),Mrs,female,24,2,STON/O2. 3101279,15.85,U,Southampton,0
144,False,Third,Burke, Jeremiah,Mr,male,19,1,365222,6.75,U,Queenstown,0
145,False,Second,Andrew, Edgardo Samuel,Mr,male,18,1,231945,11.50,U,Southampton,0
146,False,Second,Nicholls, Joseph Charles,Mr,male,19,3,C.A. 33112,36.75,U,Southampton,0
147,True,Third,Andersson, August Edvard ("Wennerstrom"),Mr,male,27,1,350043,7.80,U,Southampton,0
148,False,Third,Ford, Robina Maggie "Ruby",Miss,female,9,5,W./C. 6608,34.38,U,Southampton,0
149,False,Second,Navratil, Michel ("Louis M Hoffman"),Mr,male,36,3,230080,26.00,F,Southampton,0
150,False,Second,Byles, Thomas Roussel Davids,Mr,male,42,1,244310,13.00,U,Southampton,0
151,False,Second,Bateman, Robert James,Mr,male,51,1,S.O.P. 1166,12.53,U,Southampton,0
152,True,First,Pears, Thomas (Edith Wearne),Mrs,female,22,2,113776,66.60,C,Southampton,0
153,False,Third,Meo, Alfonzo,Mr,male,55,1,A.5. 11206,8.05,U,Southampton,0
154,False,Third,van Billiard, Austin Blyler,Mr,male,40,3,A/5. 851,14.50,U,Southampton,0
156,False,First,Williams, Charles Duane,Mr,male,51,2,PC 17597,61.38,U,Cherbourg,0
157,True,Third,Gilnagh, Katherine "Katie",Miss,female,16,1,35851,7.73,U,Queenstown,0
158,False,Third,Corn, Harry,Mr,male,30,1,SOTON/OQ 392090,8.05,U,Southampton,0
161,False,Third,Cribb, John Hatfield,Mr,male,44,2,371362,16.10,U,Southampton,0
162,True,Second,Watt, James (Elizabeth "Bessie" Inglis Milne),Mrs,female,40,1,C.A. 33595,15.75,U,Southampton,0
163,False,Third,Bengtsson, John Viktor,Mr,male,26,1,347068,7.78,U,Southampton,0
164,False,Third,Calic, Jovo,Mr,male,17,1,315093,8.66,U,Southampton,0
165,False,Third,Panula, Eino Viljami,Mr,male,1,6,3101295,39.69,U,Southampton,0
166,True,Third,Goldsmith, Frank John William "Frankie",Mr,male,9,3,363291,20.53,U,Southampton,0
168,False,Third,Skoog, William (Anna Bernhardina Karlsson),Mrs,female,45,6,347088,27.90,U,Southampton,1
170,False,Third,Ling, Lee,Mr,male,28,1,1601,56.50,U,Southampton,0
171,False,First,Van der hoef, Wyckoff,Mr,male,61,1,111240,33.50,B,Southampton,0
172,False,Third,Rice, Arthur,Mr,male,4,6,382652,29.13,U,Queenstown,0
173,True,Third,Johnson, Eleanor Ileen,Miss,female,1,3,347742,11.13,U,Southampton,0
174,False,Third,Sivola, Antti Wilhelm,Mr,male,21,1,STON/O 2. 3101280,7.93,U,Southampton,0
175,False,First,Smith, James Clinch,Mr,male,56,1,17764,30.70,A,Cherbourg,0
176,False,Third,Klasen, Klas Albin,Mr,male,18,3,350404,7.85,U,Southampton,0
178,False,First,Isham, Ann Elizabeth,Miss,female,50,1,PC 17595,28.71,C,Cherbourg,0
179,False,Second,Hale, Reginald,Mr,male,30,1,250653,13.00,U,Southampton,0
183,False,Third,Asplund, Clarence Gustaf Hugo,Mr,male,9,7,347077,31.39,U,Southampton,0
184,True,Second,Becker, Richard F,Mr,male,1,4,230136,39.00,F,Southampton,0
185,True,Third,Kink-Heilmann, Luise Gretchen,Miss,female,4,3,315153,22.03,U,Southampton,0
188,True,First,Romaine, Charles Hallace ("Mr C Rolmane"),Mr,male,45,1,111428,26.55,U,Southampton,0
189,False,Third,Bourke, John,Mr,male,40,3,364849,15.50,U,Queenstown,0
190,False,Third,Turcin, Stjepan,Mr,male,36,1,349247,7.90,U,Southampton,0
191,True,Second,Pinsky, (Rosa),Mrs,female,32,1,234604,13.00,U,Southampton,0
192,False,Second,Carbines, William,Mr,male,19,1,28424,13.00,U,Southampton,0
193,True,Third,Andersen-Jensen, Carla Christine Nielsine,Miss,female,19,2,350046,7.85,U,Southampton,1
194,True,Second,Navratil, Michel M,Mr,male,3,3,230080,26.00,F,Southampton,0
195,True,First,Brown, James Joseph (Margaret Tobin),Mrs,female,44,1,PC 17610,27.72,B,Cherbourg,0
196,True,First,Lurette, Elise,Miss,female,58,1,PC 17569,146.52,B,Cherbourg,0
198,False,Third,Olsen, Karl Siegwart Andreas,Mr,male,42,2,4579,8.40,U,Southampton,0
200,False,Second,Yrois, Henriette ("Mrs Harbeck"),Miss,female,24,1,248747,13.00,U,Southampton,0
201,False,Third,Vande Walle, Nestor Cyriel,Mr,male,28,1,345770,9.50,U,Southampton,0
203,False,Third,Johanson, Jakob Alfred,Mr,male,34,1,3101264,6.50,U,Southampton,0
204,False,Third,Youseff, Gerious,Mr,male,45,1,2628,7.23,U,Cherbourg,0
205,True,Third,Cohen, Gurshon "Gus",Mr,male,18,1,A/5 3540,8.05,U,Southampton,0
206,False,Third,Strom, Telma Matilda,Miss,female,2,2,347054,10.46,G,Southampton,0
207,False,Third,Backstrom, Karl Alfred,Mr,male,32,2,3101278,15.85,U,Southampton,0
208,True,Third,Albimona, Nassef Cassem,Mr,male,26,1,2699,18.79,U,Cherbourg,0
209,True,Third,Carr, Helen "Ellen",Miss,female,16,1,367231,7.75,U,Queenstown,0
210,True,First,Blank, Henry,Mr,male,40,1,112277,31.00,A,Cherbourg,0
211,False,Third,Ali, Ahmed,Mr,male,24,1,SOTON/O.Q. 3101311,7.05,U,Southampton,0
212,True,Second,Cameron, Clear Annie,Miss,female,35,1,F.C.C. 13528,21.00,U,Southampton,0
213,False,Third,Perkin, John Henry,Mr,male,22,1,A/5 21174,7.25,U,Southampton,0
214,False,Second,Givard, Hans Kristensen,Mr,male,30,1,250646,13.00,U,Southampton,0
216,True,First,Newell, Madeleine,Miss,female,31,2,35273,113.28,D,Cherbourg,0
217,True,Third,Honkanen, Eliina,Miss,female,27,1,STON/O2. 3101283,7.93,U,Southampton,0
218,False,Second,Jacobsohn, Sidney Samuel,Mr,male,42,2,243847,27.00,U,Southampton,0
219,True,First,Bazzani, Albina,Miss,female,32,1,11813,76.29,D,Cherbourg,0
220,False,Second,Harris, Walter,Mr,male,30,1,W/C 14208,10.50,U,Southampton,0
221,True,Third,Sunderland, Victor Francis,Mr,male,16,1,SOTON/OQ 392089,8.05,U,Southampton,0
222,False,Second,Bracken, James H,Mr,male,27,1,220367,13.00,U,Southampton,0
223,False,Third,Green, George Henry,Mr,male,51,1,21440,8.05,U,Southampton,0
225,True,First,Hoyt, Frederick Maxfield,Mr,male,38,2,19943,90.00,C,Southampton,0
226,False,Third,Berglund, Karl Ivar Sven,Mr,male,22,1,PP 4348,9.35,U,Southampton,0
227,True,Second,Mellors, William John,Mr,male,19,1,SW/PP 751,10.50,U,Southampton,0
228,False,Third,Lovell, John Hall ("Henry"),Mr,male,20,1,A/5 21173,7.25,U,Southampton,0
229,False,Second,Fahlstrom, Arne Jonas,Mr,male,18,1,236171,13.00,U,Southampton,0
231,True,First,Harris, Henry Birkhardt (Irene Wallach),Mrs,female,35,2,36973,83.48,C,Southampton,0
232,False,Third,Larsson, Bengt Edvin,Mr,male,29,1,347067,7.78,U,Southampton,0
233,False,Second,Sjostedt, Ernst Adolf,Mr,male,59,1,237442,13.50,U,Southampton,0
234,True,Third,Asplund, Lillian Gertrud,Miss,female,5,7,347077,31.39,U,Southampton,0
235,False,Second,Leyson, Robert William Norman,Mr,male,24,1,C.A. 29566,10.50,U,Southampton,0
237,False,Second,Hold, Stephen,Mr,male,44,2,26707,26.00,U,Southampton,0
238,True,Second,Collyer, Marjorie "Lottie",Miss,female,8,3,C.A. 31921,26.25,U,Southampton,0
239,False,Second,Pengelly, Frederick William,Mr,male,19,1,28665,10.50,U,Southampton,0
240,False,Second,Hunt, George Henry,Mr,male,33,1,SCO/W 1585,12.28,U,Southampton,0
243,False,Second,Coleridge, Reginald Charles,Mr,male,29,1,W./C. 14263,10.50,U,Southampton,0
244,False,Third,Maenpaa, Matti Alexanteri,Mr,male,22,1,STON/O 2. 3101275,7.13,U,Southampton,0
245,False,Third,Attalah, Sleiman,Mr,male,30,1,2694,7.23,U,Cherbourg,0
246,False,First,Minahan, William Edward,Mr,male,44,3,19928,90.00,C,Queenstown,0
247,False,Third,Lindahl, Agda Thorilda Viktoria,Miss,female,25,1,347071,7.78,U,Southampton,0
248,True,Second,Hamalainen, William (Anna),Mrs,female,24,3,250649,14.50,U,Southampton,1
249,True,First,Beckwith, Richard Leonard,Mr,male,37,3,11751,52.55,D,Southampton,0
250,False,Second,Carter, Ernest Courtenay,Mr,male,54,2,244252,26.00,U,Southampton,0
252,False,Third,Strom, Wilhelm (Elna Matilda Persson),Mrs,female,29,3,347054,10.46,G,Southampton,1
253,False,First,Stead, William Thomas,Mr,male,62,1,113514,26.55,C,Southampton,0
254,False,Third,Lobb, William Arthur,Mr,male,30,2,A/5. 3336,16.10,U,Southampton,0
255,False,Third,Rosblom, Viktor (Helena Wilhelmina),Mrs,female,41,3,370129,20.21,U,Southampton,0
256,True,Third,Touma, Darwis (Hanne Youssef Razi),Mrs,female,29,3,2650,15.25,U,Cherbourg,0
258,True,First,Cherry, Gladys,Miss,female,30,1,110152,86.50,B,Southampton,0
259,True,First,Ward, Anna,Miss,female,35,1,PC 17755,512.33,U,Cherbourg,0
260,True,Second,Parrish, (Lutie Davis),Mrs,female,50,2,230433,26.00,U,Southampton,1
262,True,Third,Asplund, Edvin Rojj Felix,Mr,male,3,7,347077,31.39,U,Southampton,0
263,False,First,Taussig, Emil,Mr,male,52,3,110413,79.65,E,Southampton,0
266,False,Second,Reeves, David,Mr,male,36,1,C.A. 17248,10.50,U,Southampton,0
267,False,Third,Panula, Ernesti Arvid,Mr,male,16,6,3101295,39.69,U,Southampton,0
268,True,Third,Persson, Ernst Ulrik,Mr,male,25,2,347083,7.78,U,Southampton,0
269,True,First,Graham, William Thompson (Edith Junkins),Mrs,female,58,2,PC 17582,153.46,C,Southampton,0
270,True,First,Bissette, Amelia,Miss,female,35,1,PC 17760,135.63,C,Southampton,0
273,True,Second,Mellinger, (Elizabeth Anne Maidment),Mrs,female,41,2,250644,19.50,U,Southampton,1
274,False,First,Natsch, Charles H,Mr,male,37,2,PC 17596,29.70,C,Cherbourg,0
276,True,First,Andrews, Kornelia Theodosia,Miss,female,63,2,13502,77.96,D,Southampton,1
277,False,Third,Lindblom, Augusta Charlotta,Miss,female,45,1,347073,7.75,U,Southampton,0
279,False,Third,Rice, Eric,Mr,male,7,6,382652,29.13,U,Queenstown,0
280,True,Third,Abbott, Stanton (Rosa Hunt),Mrs,female,35,3,C.A. 2673,20.25,U,Southampton,1
281,False,Third,Duane, Frank,Mr,male,65,1,336439,7.75,U,Queenstown,0
282,False,Third,Olsson, Nils Johan Goransson,Mr,male,28,1,347464,7.85,U,Southampton,0
283,False,Third,de Pelsmaeker, Alfons,Mr,male,16,1,345778,9.50,U,Southampton,0
284,True,Third,Dorking, Edward Arthur,Mr,male,19,1,A/5. 10482,8.05,U,Southampton,0
286,False,Third,Stankovic, Ivan,Mr,male,33,1,349239,8.66,U,Cherbourg,0
287,True,Third,de Mulder, Theodore,Mr,male,30,1,345774,9.50,U,Southampton,0
288,False,Third,Naidenoff, Penko,Mr,male,22,1,349206,7.90,U,Southampton,0
289,True,Second,Hosono, Masabumi,Mr,male,42,1,237798,13.00,U,Southampton,0
290,True,Third,Connolly, Kate,Miss,female,22,1,370373,7.75,U,Queenstown,0
291,True,First,Barber, Ellen "Nellie",Miss,female,26,1,19877,78.85,U,Southampton,0
292,True,First,Bishop, Dickinson H (Helen Walton),Mrs,female,19,2,11967,91.08,B,Cherbourg,0
293,False,Second,Levy, Rene Jacques,Mr,male,36,1,SC/Paris 2163,12.88,D,Cherbourg,0
294,False,Third,Haas, Aloisia,Miss,female,24,1,349236,8.85,U,Southampton,0
295,False,Third,Mineff, Ivan,Mr,male,24,1,349233,7.90,U,Southampton,0
297,False,Third,Hanna, Mansour,Mr,male,23,1,2693,7.23,U,Cherbourg,0
298,False,First,Allison, Helen Loraine,Miss,female,2,4,113781,151.55,C,Southampton,0
300,True,First,Baxter, James (Helene DeLaudeniere Chaput),Mrs,female,50,2,PC 17558,247.52,B,Cherbourg,0
308,True,First,Penasco y Castellana, Victor de Satode (Maria Josefa Perez de Soto y Vallejo),Mrs,female,17,2,PC 17758,108.90,C,Cherbourg,0
309,False,Second,Abelson, Samuel,Mr,male,30,2,P/PP 3381,24.00,U,Cherbourg,0
310,True,First,Francatelli, Laura Mabel,Miss,female,30,1,PC 17485,56.93,E,Cherbourg,0
311,True,First,Hays, Margaret Bechstein,Miss,female,24,1,11767,83.16,C,Cherbourg,0
312,True,First,Ryerson, Emily Borie,Miss,female,18,5,PC 17608,262.38,B,Cherbourg,0
313,False,Second,Lahtinen, William (Anna Sylfven),Mrs,female,26,3,250651,26.00,U,Southampton,0
314,False,Third,Hendekovic, Ignjac,Mr,male,28,1,349243,7.90,U,Southampton,0
315,False,Second,Hart, Benjamin,Mr,male,43,3,F.C.C. 13529,26.25,U,Southampton,0
316,True,Third,Nilsson, Helmina Josefina,Miss,female,26,1,347470,7.85,U,Southampton,0
317,True,Second,Kantor, Sinai (Miriam Sternin),Mrs,female,24,2,244367,26.00,U,Southampton,0
318,False,Second,Moraweck, Ernest,Mr,male,54,1,29011,14.00,U,Southampton,0
319,True,First,Wick, Mary Natalie,Miss,female,31,3,36928,164.87,C,Southampton,0
320,True,First,Spedden, Frederic Oakley (Margaretta Corning Stone),Mrs,female,40,3,16966,134.50,E,Cherbourg,0
321,False,Third,Dennis, Samuel,Mr,male,22,1,A/5 21172,7.25,U,Southampton,0
322,False,Third,Danoff, Yoto,Mr,male,27,1,349219,7.90,U,Southampton,0
323,True,Second,Slayter, Hilda Mary,Miss,female,30,1,234818,12.35,U,Queenstown,0
324,True,Second,Caldwell, Albert Francis (Sylvia Mae Harbaugh),Mrs,female,22,3,248738,29.00,U,Southampton,1
326,True,First,Young, Marie Grice,Miss,female,36,1,PC 17760,135.63,C,Cherbourg,0
327,False,Third,Nysveen, Johan Hansen,Mr,male,61,1,345364,6.24,U,Southampton,0
328,True,Second,Ball, (Ada E Hall),Mrs,female,36,1,28551,13.00,D,Southampton,0
329,True,Third,Goldsmith, Frank John (Emily Alice Brown),Mrs,female,31,3,363291,20.53,U,Southampton,1
330,True,First,Hippach, Jean Gertrude,Miss,female,16,2,111361,57.98,B,Cherbourg,0
332,False,First,Partner, Austen,Mr,male,45,1,113043,28.50,C,Southampton,0
333,False,First,Graham, George Edward,Mr,male,38,2,PC 17582,153.46,C,Southampton,0
334,False,Third,Vander Planke, Leo Edmondus,Mr,male,16,3,345764,18.00,U,Southampton,0
337,False,First,Pears, Thomas Clinton,Mr,male,29,2,113776,66.60,C,Southampton,0
338,True,First,Burns, Elizabeth Margaret,Miss,female,41,1,16966,134.50,E,Cherbourg,0
339,True,Third,Dahl, Karl Edwart,Mr,male,45,1,7598,8.05,U,Southampton,0
340,False,First,Blackwell, Stephen Weart,Mr,male,45,1,113784,35.50,U,Southampton,0
341,True,Second,Navratil, Edmond Roger,Mr,male,2,3,230080,26.00,F,Southampton,0
342,True,First,Fortune, Alice Elizabeth,Miss,female,24,6,19950,263.00,C,Southampton,0
343,False,Second,Collander, Erik Gustaf,Mr,male,28,1,248740,13.00,U,Southampton,0
344,False,Second,Sedgwick, Charles Frederick Waddington,Mr,male,25,1,244361,13.00,U,Southampton,0
345,False,Second,Fox, Stanley Hubert,Mr,male,36,1,229236,13.00,U,Southampton,0
346,True,Second,Brown, Amelia "Mildred",Miss,female,24,1,248733,13.00,F,Southampton,0
347,True,Second,Smith, Marion Elsie,Miss,female,40,1,31418,13.00,U,Southampton,0
349,True,Third,Coutts, William Loch "William",Mr,male,3,3,C.A. 37671,15.90,U,Southampton,0
350,False,Third,Dimic, Jovan,Mr,male,42,1,315088,8.66,U,Southampton,0
351,False,Third,Odahl, Nils Martin,Mr,male,23,1,7267,9.23,U,Southampton,0
353,False,Third,Elias, Tannous,Mr,male,15,3,2695,7.23,U,Cherbourg,0
354,False,Third,Arnold-Franchi, Josef,Mr,male,25,2,349237,17.80,U,Southampton,0
356,False,Third,Vanden Steen, Leo Peter,Mr,male,28,1,345783,9.50,U,Southampton,0
357,True,First,Bowerman, Elsie Edith,Miss,female,22,2,113505,55.00,E,Southampton,1
358,False,Second,Funk, Annie Clemmer,Miss,female,38,1,237671,13.00,U,Southampton,0
361,False,Third,Skoog, Wilhelm,Mr,male,40,6,347088,27.90,U,Southampton,0
362,False,Second,del Carlo, Sebastiano,Mr,male,29,2,SC/PARIS 2167,27.72,U,Cherbourg,0
363,False,Third,Barbara, (Catherine David),Mrs,female,45,2,2691,14.45,U,Cherbourg,1
